1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
200872_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200873_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200874_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200875_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
200876_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200877_at,5,4,4,2,3,1,7,1,3,3,2,7,1,1,7
200878_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200879_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
200880_at,2,1,3,8,2,7,1,5,8,7,4,1,5,6,4
200881_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
200882_s_at,5,4,4,2,3,1,7,1,3,3,1,3,1,8,7
200883_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
200884_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200885_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
200886_s_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,7
200887_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200888_s_at,8,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200889_s_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200890_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
200891_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200892_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
200893_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200894_s_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
200895_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200896_x_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
200897_s_at,5,4,4,2,3,1,7,1,3,3,1,7,1,1,7
200898_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200899_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
200900_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200901_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200902_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
200903_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200904_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200905_x_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200906_s_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
200907_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200908_s_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200909_s_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
200910_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
200911_s_at,5,4,4,2,3,1,6,1,3,3,1,3,1,1,7
200912_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200913_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200914_x_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200915_x_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200916_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200917_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
200918_s_at,5,4,4,2,3,1,7,1,3,3,2,7,1,1,7
200919_at,2,2,6,1,8,8,2,4,7,1,2,7,4,6,8
200920_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200921_s_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
200922_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200923_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200924_s_at,8,6,4,2,2,1,6,1,3,8,1,3,1,1,7
200925_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200926_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200927_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200928_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200929_at,5,4,6,2,8,8,6,4,7,3,2,7,4,1,7
200930_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200931_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200932_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200933_x_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200934_at,5,2,4,1,8,8,6,4,7,1,2,7,4,1,7
200935_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200936_at,8,4,4,2,2,1,6,1,3,3,1,3,1,8,7
200937_s_at,8,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200938_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200939_s_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
200940_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
200941_at,1,6,2,7,2,3,5,5,8,8,4,1,5,5,5
200942_s_at,2,1,3,8,2,7,1,5,8,7,4,1,5,6,4
200943_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
200944_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
200945_s_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200946_x_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200947_s_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,1
200948_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
200949_x_at,5,4,4,2,3,1,7,3,3,3,2,7,4,1,7
200950_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200951_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
200952_s_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
200953_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
200954_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200955_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200956_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200957_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
200958_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200959_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200960_x_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
200961_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200962_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
200963_x_at,2,1,3,8,2,7,1,5,8,7,4,1,5,6,4
200964_at,8,2,4,1,2,8,6,1,3,1,2,7,1,1,7
200965_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200966_x_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200967_at,8,6,4,7,2,3,6,1,3,8,1,3,1,1,7
200968_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200969_at,8,4,4,2,2,1,6,1,3,3,1,3,1,8,7
200970_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200971_s_at,2,2,6,1,2,8,2,4,7,1,2,7,4,1,8
200972_at,8,6,8,7,6,3,5,1,3,8,1,3,1,5,5
200973_s_at,2,2,3,1,2,8,6,4,7,1,2,7,4,6,8
200974_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200975_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
200976_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200977_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200978_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
200979_at,2,2,3,1,2,8,6,4,7,1,2,7,4,6,8
200980_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
200981_x_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200982_s_at,8,4,4,2,3,1,6,1,3,3,1,3,1,8,7
200983_x_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
200984_s_at,8,6,8,2,3,1,5,1,3,8,1,3,1,8,1
200985_s_at,1,6,2,7,2,3,1,5,8,8,4,1,5,5,5
200986_at,8,6,4,7,2,3,6,1,3,8,1,3,1,1,7
200987_x_at,2,2,3,1,8,8,2,4,7,1,2,7,4,6,8
200988_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200989_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
200990_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
200991_s_at,5,4,4,2,2,1,6,1,3,3,1,3,1,1,7
200992_at,2,2,6,1,8,8,2,4,7,1,2,7,4,6,8
200993_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,7
200994_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200995_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200996_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200997_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
200998_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
200999_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,5,5
201000_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
201001_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201002_s_at,2,2,3,1,2,7,1,5,8,1,4,1,5,6,4
201003_x_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201004_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
201005_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201006_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201007_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
201008_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201009_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201010_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201011_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201012_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201013_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201014_s_at,8,6,4,7,2,3,6,1,3,8,1,3,1,1,7
201015_s_at,8,6,4,7,2,3,6,1,3,8,1,3,1,8,7
201016_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201017_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201018_at,5,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201019_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201020_at,2,2,3,1,5,7,2,4,7,1,2,1,4,6,8
201021_s_at,2,2,3,1,2,8,6,4,7,1,2,7,4,6,7
201022_s_at,2,2,3,1,5,7,2,4,7,1,2,7,4,6,8
201023_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201024_x_at,2,2,4,1,2,7,6,5,8,1,4,1,5,5,5
201025_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201026_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201027_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201028_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201029_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201030_x_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201031_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201032_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201033_x_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201034_at,1,1,2,8,2,7,1,5,8,7,4,1,5,5,5
201035_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201036_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201037_at,5,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201038_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201039_s_at,8,4,4,2,2,1,6,1,3,3,1,3,1,8,7
201040_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201041_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201042_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201043_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201044_x_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201045_s_at,5,4,4,2,3,1,6,1,3,3,2,7,1,1,7
201046_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201047_x_at,5,2,4,2,2,8,6,4,7,1,2,7,4,1,7
201048_x_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201049_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201050_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201051_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201052_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201053_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201054_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201055_s_at,5,4,4,2,3,1,7,3,3,3,1,3,1,8,7
201056_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
201057_s_at,5,4,4,2,3,1,6,4,7,3,2,7,4,1,7
201058_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201059_at,8,6,4,7,2,3,6,1,3,8,1,3,1,8,5
201060_x_at,5,4,4,2,3,1,6,1,3,3,2,7,1,1,7
201061_s_at,2,2,4,1,2,8,6,5,8,1,2,1,5,1,7
201062_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201063_at,8,6,4,2,3,1,5,1,3,8,1,3,1,8,1
201064_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201065_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201066_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201067_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201068_s_at,7,3,5,3,4,2,4,8,4,6,8,5,3,3,2
201069_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201070_x_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201071_x_at,5,2,4,1,8,8,6,4,7,1,2,7,4,1,7
201072_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201073_s_at,5,4,4,2,3,1,7,1,3,3,1,3,1,8,7
201074_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201075_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201076_at,5,4,4,2,3,1,7,1,3,3,2,7,1,1,7
201077_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201078_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201079_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201080_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201081_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201082_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201083_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201084_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201085_s_at,5,4,4,2,2,1,6,1,3,3,2,7,1,1,7
201086_x_at,5,4,4,2,3,1,6,1,3,3,1,3,1,1,7
201087_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201088_at,2,2,3,1,2,8,2,4,7,1,2,7,4,1,8
201089_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,5
201090_x_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
