1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
210532_s_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210533_at,17,2,3,6,4,10,10,5,15,11,6,15,18,16,1,1,3,11,20,17
210534_s_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,18,8,12,2,9,13
210535_at,17,8,3,6,4,10,10,4,15,16,6,15,18,16,16,1,6,4,20,6
210536_s_at,17,8,3,6,4,10,10,5,15,11,6,15,18,16,10,1,3,11,20,17
210537_s_at,17,8,18,6,4,10,10,4,17,16,6,15,18,16,16,1,6,4,20,6
210538_s_at,5,12,4,12,3,5,18,1,2,20,11,7,16,17,8,10,7,11,8,4
210539_at,19,2,19,14,17,11,7,5,16,11,14,8,11,19,1,17,11,6,19,12
210540_s_at,5,20,4,18,8,18,5,18,2,14,2,17,7,5,8,16,19,12,12,9
210541_s_at,16,8,3,6,4,10,10,4,15,16,1,15,13,11,16,1,6,4,18,6
210542_s_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,16,19,12,12,12
210543_s_at,5,20,4,14,17,11,5,5,2,14,2,8,8,14,8,17,19,12,12,12
210544_s_at,20,13,8,17,19,1,6,16,5,17,4,2,1,12,3,6,17,19,7,11
210545_at,17,8,3,6,4,10,10,5,15,16,6,15,18,16,1,1,3,6,20,6
210546_x_at,20,1,8,16,19,1,6,2,12,17,4,10,1,12,3,6,8,19,7,11
210547_x_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,19,5
210548_at,19,19,1,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210549_s_at,5,20,11,12,3,5,18,1,2,14,11,7,16,17,8,10,7,2,8,4
210550_s_at,4,2,19,4,6,17,7,14,16,15,14,19,11,19,4,9,20,6,20,5
210551_s_at,16,8,18,13,6,2,11,4,17,16,1,19,13,11,4,9,6,4,14,6
210552_s_at,18,20,6,18,8,18,5,18,1,14,2,17,7,5,8,16,19,3,12,9
210553_x_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,16,19,12,12,12
210554_s_at,11,15,6,12,3,8,19,3,3,14,2,13,7,5,8,8,12,3,11,4
210555_s_at,17,2,19,14,17,11,7,5,16,11,6,8,8,16,1,17,3,6,20,12
210556_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,19,5
210557_x_at,18,19,1,19,15,13,14,10,13,10,12,18,3,3,13,16,18,20,10,9
210558_at,16,1,15,16,12,1,10,4,12,16,18,10,13,11,16,1,8,4,18,11
210559_s_at,17,12,3,6,4,10,18,2,15,20,11,15,18,16,10,1,7,11,8,17
210560_at,17,2,3,14,17,11,7,5,16,11,6,8,8,16,1,17,3,6,20,12
210561_s_at,16,16,10,13,18,2,9,4,17,5,1,12,13,11,15,7,6,10,17,1
210562_at,17,2,3,14,17,11,7,5,15,11,6,8,18,16,1,17,3,11,20,12
210563_x_at,17,8,3,6,4,10,10,4,15,16,6,15,18,16,16,1,3,11,18,6
210564_x_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,11,9
210565_at,11,15,6,18,8,8,19,3,3,14,2,17,7,5,8,8,12,3,11,4
210567_s_at,13,13,8,17,19,9,20,16,5,7,4,2,1,12,3,6,17,19,7,7
210568_s_at,17,12,3,6,4,10,18,5,15,20,6,7,18,16,10,10,3,11,8,17
210569_s_at,18,19,1,19,8,18,14,18,13,10,12,17,3,3,13,16,11,20,10,9
210570_x_at,8,16,10,20,18,16,9,7,14,5,3,12,19,4,15,7,1,10,17,1
210571_s_at,20,1,15,16,12,1,6,2,12,17,18,10,1,12,16,1,8,4,18,11
210572_at,4,2,18,4,6,17,7,14,16,11,6,19,11,19,4,9,20,6,20,5
210573_s_at,19,2,19,14,17,11,7,5,16,11,6,8,8,14,1,17,3,12,20,12
210574_s_at,20,13,8,17,19,1,20,16,5,17,4,2,1,12,3,6,17,19,7,7
210575_at,19,19,1,14,17,11,5,10,13,10,12,8,8,14,13,16,11,20,10,12
210576_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,20,5
210577_at,13,13,11,17,20,9,20,16,5,7,5,2,9,18,18,4,17,2,9,7
210578_at,5,20,4,14,17,11,5,18,2,14,2,17,8,14,8,16,19,12,12,9
210579_s_at,17,2,4,14,17,11,7,5,2,11,6,8,8,14,1,17,3,12,20,12
210580_x_at,16,8,15,13,12,2,10,4,17,16,18,15,13,11,16,1,6,4,18,6
210581_x_at,13,13,8,17,19,9,20,16,5,7,4,2,1,12,3,6,17,19,7,7
210582_s_at,5,20,4,18,8,18,5,18,1,14,2,17,7,5,8,16,19,12,12,9
210583_at,5,20,6,18,8,18,5,18,1,14,2,17,7,5,8,8,19,3,12,4
210584_s_at,4,5,18,4,6,17,11,14,17,15,14,19,11,19,4,9,20,6,14,5
210585_s_at,20,1,15,16,12,1,6,2,12,17,18,10,1,12,3,6,8,19,18,11
210586_x_at,4,8,18,6,6,10,10,4,15,16,6,15,18,16,1,9,3,6,20,6
210587_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,2,8,4
210588_x_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210589_s_at,17,2,3,14,17,10,7,5,16,11,6,8,18,16,1,17,3,6,20,12
210592_s_at,13,15,11,11,20,9,20,16,3,7,5,13,9,18,18,4,12,2,9,7
210593_at,17,2,3,14,17,11,7,5,15,11,6,8,8,16,1,17,3,12,20,12
