1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1007_s_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
1053_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
117_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
121_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
1255_g_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
1294_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
1316_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
1320_at,5,1,1,2,5,4,4,1,3,5,3,2,2,5,2,4,3
1405_i_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
1431_at,2,3,3,2,3,5,1,1,3,5,3,2,5,2,4,1,4
1438_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
1487_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,1,4
1494_f_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,2,1,3
1598_g_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
160020_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
1729_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
1773_at,5,1,1,2,5,4,4,1,3,5,3,2,2,5,2,4,3
177_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
179_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
1861_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200000_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200001_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200002_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200003_s_at,2,3,3,2,3,5,1,1,3,5,3,2,5,2,4,1,4
200004_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200005_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200006_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200007_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200008_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200009_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200010_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,2,5,3
200011_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200012_x_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200013_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200014_s_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,1,4
200015_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200016_x_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,4,3
200017_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200018_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200019_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200020_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200021_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200022_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200023_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200024_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,4,3
200025_s_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200026_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200027_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200028_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200029_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200030_s_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,2,5,3
200031_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200032_s_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200033_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
