1,2,3,4,5,6,7,8,9,10
1007_s_at,3,7,1,2,7,10,8,2,1,5
1053_at,3,7,1,2,7,10,8,2,1,5
117_at,7,1,2,8,5,1,1,8,8,6
121_at,6,8,10,10,10,4,6,10,3,4
1255_g_at,5,1,4,8,5,8,1,8,8,6
1294_at,7,6,2,7,7,1,10,2,7,5
1316_at,7,6,2,7,5,1,10,8,7,6
1320_at,6,4,10,9,3,4,3,7,9,8
1405_i_at,3,7,1,2,7,10,8,2,1,5
1431_at,6,4,10,9,3,4,3,7,9,8
1438_at,6,8,7,6,10,4,6,10,6,4
1487_at,6,8,7,6,3,4,6,7,6,8
1494_f_at,6,5,10,10,10,4,2,10,3,7
1598_g_at,7,6,2,7,7,1,10,2,7,5
160020_at,3,7,1,2,7,10,8,2,1,5
1729_at,6,8,7,6,5,4,6,8,6,4
1773_at,4,5,5,10,2,9,2,3,3,7
177_at,4,5,10,10,2,9,2,3,3,7
179_at,4,5,5,10,10,9,2,10,3,7
1861_at,5,1,4,8,3,8,1,7,8,8
200000_s_at,6,4,4,9,3,8,3,7,9,8
200001_at,3,6,1,7,7,10,10,2,7,5
200002_at,6,4,10,9,3,4,3,7,9,8
200003_s_at,5,4,4,9,3,8,3,7,9,8
200004_at,7,6,2,7,5,1,10,8,7,6
200005_at,5,1,4,8,5,8,1,8,8,6
200006_at,6,8,7,6,5,4,6,8,6,4
200007_at,6,8,7,6,10,4,6,10,6,4
200008_s_at,4,5,5,10,10,9,2,10,3,7
200009_at,5,1,4,8,5,8,1,8,8,6
200010_at,7,6,2,7,7,1,10,2,7,5
200011_s_at,5,1,4,8,3,8,1,7,8,8
200012_x_at,4,5,5,10,10,9,2,10,3,7
200013_at,6,8,7,6,10,4,6,10,6,4
200014_s_at,3,7,1,2,7,10,8,2,1,5
200015_s_at,6,4,10,9,3,4,3,7,9,8
200016_x_at,4,5,10,10,10,9,2,10,3,7
200017_at,5,1,4,8,5,8,1,8,8,6
200018_at,7,1,2,8,5,1,1,8,8,6
200019_s_at,3,7,1,2,7,10,8,2,1,5
200020_at,7,1,2,8,5,1,1,8,8,6
200021_at,7,6,7,6,7,1,10,2,6,5
200022_at,6,8,5,10,10,4,6,10,3,4
200023_s_at,6,8,7,6,10,4,6,10,6,4
200024_at,3,7,1,2,7,10,8,2,1,5
200025_s_at,6,8,7,6,5,4,6,8,6,4
200026_at,7,1,4,8,5,1,1,8,8,6
200027_at,7,6,2,7,5,1,10,8,7,6
200028_s_at,6,8,7,6,10,4,6,10,6,4
200029_at,6,8,7,6,10,4,6,10,6,4
200030_s_at,6,8,5,10,10,4,6,10,3,4
200031_s_at,3,7,1,2,7,10,8,2,1,5
200032_s_at,7,1,2,8,5,1,1,8,8,6
200033_at,6,8,7,6,10,4,6,10,6,4
200034_s_at,7,1,2,8,5,1,1,8,8,6
200035_at,7,6,2,7,7,1,10,2,7,5
200036_s_at,3,6,7,6,7,10,10,2,6,5
200037_s_at,3,6,1,2,7,10,10,2,1,5
200038_s_at,7,6,2,7,7,1,10,2,7,5
200039_s_at,5,4,4,9,3,8,3,7,9,8
200040_at,3,7,1,2,7,10,8,2,1,5
200041_s_at,7,6,2,7,7,1,10,2,7,5
200042_at,6,8,7,6,10,4,6,10,6,4
200043_at,3,7,1,2,7,10,8,2,1,5
200044_at,4,5,5,10,10,9,2,10,3,7
200045_at,3,7,1,6,7,10,8,2,1,5
200046_at,4,5,5,10,10,9,2,10,3,7
200047_s_at,4,5,5,10,10,9,2,3,3,7
200048_s_at,7,6,2,7,5,1,10,8,7,6
200049_at,3,8,7,6,7,10,6,2,6,4
200050_at,4,5,5,10,10,9,2,10,3,7
200051_at,6,8,7,6,10,4,6,10,6,4
200052_s_at,3,6,1,7,7,10,10,2,7,5
200053_at,6,5,10,10,10,4,2,10,3,7
200054_at,6,8,7,6,10,4,6,10,6,4
200055_at,6,8,7,6,10,4,6,10,6,4
200056_s_at,5,4,4,9,3,8,3,7,9,8
200057_s_at,5,1,4,8,3,8,1,7,8,8
200058_s_at,6,4,10,9,3,4,3,7,9,8
200059_s_at,7,1,2,8,5,1,1,8,8,6
200060_s_at,6,8,7,6,10,4,6,10,6,4
200061_s_at,5,4,4,9,3,8,1,7,8,8
200062_s_at,6,4,10,9,3,4,3,7,9,8
200063_s_at,4,5,10,10,3,9,2,7,3,7
200064_at,3,7,5,10,10,10,8,10,3,4
200065_s_at,6,4,10,9,3,4,3,7,9,8
200066_at,7,6,7,6,7,1,10,2,6,5
200067_x_at,3,6,1,7,7,10,10,2,7,5
200068_s_at,3,7,1,2,7,10,8,2,1,5
200069_at,6,5,10,10,10,4,2,10,3,7
200070_at,6,8,7,6,10,4,6,10,6,4
200071_at,3,7,1,2,10,10,8,10,1,5
200072_s_at,3,6,1,7,7,10,10,2,7,5
200073_s_at,6,4,10,9,3,4,3,7,9,8
200074_s_at,4,5,10,10,10,9,2,10,3,7
200075_s_at,3,7,1,2,7,10,8,2,1,5
200076_s_at,4,5,5,10,10,9,2,10,3,7
200077_s_at,3,7,1,2,10,10,8,10,1,4
200078_s_at,3,7,1,2,7,10,8,2,1,5
200079_s_at,7,1,2,8,5,1,1,8,8,6
200080_s_at,6,5,10,10,10,4,2,10,3,7
200081_s_at,6,8,7,6,10,4,6,10,6,4
200082_s_at,7,6,2,7,7,1,10,2,7,5
200083_at,6,8,7,6,10,4,6,10,6,4
200084_at,3,6,1,7,7,10,10,2,7,5
200085_s_at,3,6,1,7,7,10,10,2,7,5
200086_s_at,9,7,5,2,8,6,8,9,1,1
200087_s_at,7,6,2,7,7,1,10,2,7,5
200088_x_at,7,6,2,7,5,1,10,8,7,6
200089_s_at,4,5,5,10,10,9,2,10,3,7
200090_at,4,5,5,10,2,9,2,3,3,7
200091_s_at,4,5,5,10,10,9,2,10,3,7
200092_s_at,7,6,7,6,7,1,10,2,6,5
200093_s_at,3,6,1,7,7,10,10,2,7,5
200094_s_at,6,8,5,10,10,4,6,10,3,4
200095_x_at,5,4,4,9,3,8,3,7,8,8
200096_s_at,7,8,7,6,5,1,6,8,6,4
200097_s_at,6,8,7,6,10,4,6,10,6,4
200098_s_at,5,1,4,9,3,8,1,7,8,8
200099_s_at,5,1,4,8,3,8,1,7,8,8
200593_s_at,7,6,2,7,5,1,10,8,7,6
200594_x_at,6,4,10,9,3,4,3,7,9,8
200595_s_at,5,4,4,9,3,8,3,7,9,8
200596_s_at,5,4,10,9,3,8,3,7,9,8
200597_at,7,1,2,8,5,1,1,8,8,6
200598_s_at,3,7,1,2,10,10,8,10,1,4
200599_s_at,7,6,2,7,5,1,10,8,7,6
200600_at,3,7,1,2,7,10,8,2,1,5
200601_at,5,1,7,6,5,8,1,8,6,6
200602_at,7,6,2,7,7,1,10,2,7,5
200603_at,4,5,5,10,2,9,2,3,3,7
200604_s_at,6,8,7,6,5,4,6,8,6,4
200605_s_at,5,1,4,8,5,8,1,8,8,6
200606_at,3,7,1,2,7,10,8,2,1,5
200607_s_at,7,6,2,7,7,1,10,2,7,5
200608_s_at,5,1,4,8,3,8,1,7,8,8
200609_s_at,6,4,10,9,3,4,3,7,9,8
200610_s_at,3,7,1,2,10,10,8,10,1,4
200611_s_at,3,7,1,2,7,10,8,2,1,5
200612_s_at,6,5,10,10,10,4,2,10,3,7
200613_at,3,8,7,6,10,10,6,10,6,4
200614_at,3,7,1,7,7,10,8,2,1,5
200615_s_at,5,4,4,9,3,8,3,7,9,8
200616_s_at,5,1,4,8,5,8,1,8,8,6
200617_at,7,6,2,7,7,1,10,2,7,5
200618_at,5,4,4,9,3,8,3,7,9,8
200619_at,3,7,1,2,7,10,8,2,1,4
200620_at,6,8,7,6,10,4,6,10,6,4
200621_at,7,1,2,8,5,1,1,8,8,6
200622_x_at,4,5,5,10,10,9,2,10,3,7
200623_s_at,3,8,7,6,7,10,6,10,6,4
200624_s_at,6,4,10,9,3,4,3,7,9,8
200625_s_at,7,1,2,8,5,1,1,8,8,6
