1,2,3,4,5,6,7
YMR198W,4,3,4,4,4,1,1
YBL052C,2,3,4,4,4,1,1
YIL126W,2,3,4,4,4,1,3
YJR137C,2,3,3,4,3,1,3
YCR035C,2,3,3,4,3,4,4
YDR219C,2,3,4,4,4,4,3
YNL176C,2,3,4,4,4,4,1
YGL255W,4,3,4,4,4,3,4
YJL137C,2,3,4,4,4,4,4
YBR104W,4,4,4,2,4,4,4
YCR073C,4,3,3,4,4,4,4
YDL198C,4,1,4,4,4,4,4
YDR389W,4,3,4,4,4,3,4
YIL131C,2,3,3,4,4,4,3
YMR215W,2,3,3,4,3,4,3
YIL158W,4,3,4,4,4,3,4
YGL101W,2,3,4,4,4,4,3
YJR110W,2,3,3,4,3,4,3
YOL012C,4,3,4,4,4,4,4
YBL032W,2,3,4,4,4,4,4
YCL063W,2,3,4,4,4,4,3
YDR324C,4,2,4,4,4,4,4
YDR325W,2,3,4,4,4,4,3
YNL053W,4,3,4,4,4,3,4
YPR167C,2,3,3,4,3,4,3
YPL127C,2,4,3,2,3,4,3
YLL021W,3,4,3,2,3,4,3
YDR297W,2,4,3,2,3,4,3
YJR043C,2,4,1,2,3,4,2
YDR113C,2,4,3,2,3,4,3
YNL126W,2,3,3,4,3,4,3
YEL061C,2,3,3,4,3,4,3
YHR172W,2,4,3,2,3,4,3
YPR141C,2,4,3,2,3,4,3
YLR045C,2,3,3,4,3,4,3
YGR140W,2,4,3,2,3,4,3
YBL063W,2,3,3,4,3,4,3
YMR190C,2,3,3,4,3,4,3
YPL016W,2,3,3,4,3,4,3
YFR037C,2,4,3,2,3,4,3
YER001W,3,4,1,2,3,4,2
YER003C,3,4,1,2,1,4,2
YDL093W,3,4,1,2,1,1,3
YIR017C,2,3,3,4,3,4,3
YKR001C,2,3,3,4,3,4,3
YER118C,3,4,1,2,3,2,2
YER016W,3,4,1,2,1,1,2
YKR010C,2,3,1,4,3,4,2
YHR061C,2,3,1,4,3,4,2
YEL017W,2,3,1,4,3,4,2
YLL062C,2,1,1,4,3,4,3
YJL118W,2,4,3,4,3,4,3
YDR179C,2,3,3,4,3,4,3
YER018C,2,4,3,2,3,4,3
YBR156C,2,3,3,1,3,4,3
YBR184W,2,3,3,1,3,4,3
YLR228C,2,3,3,1,1,4,3
YDR252W,2,3,4,4,3,4,3
YBR007C,2,4,3,2,3,4,3
YEL018W,2,3,3,2,3,4,3
YER019W,3,4,1,2,1,1,3
YFR038W,2,4,1,2,1,4,2
YLL061W,1,1,3,4,3,4,1
YKL049C,1,3,3,4,3,4,3
YOR188W,2,4,3,2,3,4,3
YJR076C,1,1,3,3,3,4,1
YJL092W,2,1,3,3,3,4,1
YCR084C,2,1,3,3,3,4,1
YJR112W,1,1,3,3,3,4,1
YLL046C,1,3,3,3,2,4,1
YDR464W,1,3,3,3,2,2,1
YKL068W,1,3,2,1,2,2,3
YDR451C,2,3,2,1,2,2,3
YCR085W,2,3,2,1,2,2,3
YMR003W,2,3,2,1,2,2,3
YNR009W,2,3,2,4,2,2,3
