1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AT4G16610,4,4,5,5,5,2,4,2,4,4,4,5,4,5,5,2,5,2,5,4,4,4,1,2,1,1
AT4G29010,4,4,5,5,5,2,4,4,4,2,4,5,2,5,5,2,2,2,5,4,2,4,1,4,1,1
AT2G34420,4,4,5,5,5,2,4,4,4,4,4,5,4,5,4,2,5,2,5,4,4,4,1,4,1,1
AT2G43080,5,5,5,5,5,2,5,4,5,4,5,5,4,5,4,5,5,5,4,5,4,4,1,4,1,1
AT3G12120,4,5,5,5,5,2,5,4,5,4,4,5,4,5,4,2,4,2,5,5,4,4,1,4,1,1
AT3G04720,5,5,4,1,4,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,4,4,1,4,1,1
AB000623,4,5,4,1,4,2,5,4,5,4,4,5,4,4,4,5,4,2,4,5,4,4,1,4,1,1
AT1G55020,4,5,4,1,2,2,5,4,5,2,4,4,2,4,5,2,2,2,5,5,2,4,1,4,1,1
T04323,5,2,4,1,4,2,5,4,2,4,5,4,4,4,4,2,4,5,4,5,4,4,1,4,1,1
AT1G76100,4,5,4,4,4,5,5,4,5,4,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4
AT3G15730,4,4,2,1,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,1,2,1,1
AT3G12500,4,5,4,1,2,2,5,4,5,2,3,4,2,4,2,2,2,2,4,5,2,5,1,4,1,1
AT5G38430,4,5,4,1,4,2,5,4,5,4,5,4,4,4,4,2,4,2,4,5,4,4,1,4,1,1
AT1G33960,5,4,1,4,4,2,4,2,4,4,4,2,4,1,4,4,4,4,2,4,4,1,4,2,4,4
AT1G32060,1,4,1,2,1,2,4,2,4,2,4,2,2,1,1,2,2,2,2,4,1,1,2,2,2,2
AT4G39260,4,5,2,3,2,4,5,5,5,3,3,2,5,2,5,3,3,5,3,5,5,2,5,3,3,5
AT2G24180,4,2,2,2,2,2,5,2,2,2,4,2,2,2,5,2,2,2,2,5,5,2,2,5,5,5
AT2G26740,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,5,5,2,5,5,5
AT5G35630,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,5,2,2,5,5,5
AT3G15350,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,5,5,2,5,5,5
AT2G35790,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,5,2,2,2,2
AT3G06860,4,4,2,2,2,2,4,2,4,2,4,2,2,2,5,2,2,2,2,4,2,5,2,2,2,2
Y11607,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,5,5,5
AT2G34660,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT2G33150,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT2G23430,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT2G39780,4,2,2,2,2,2,5,2,2,2,4,2,2,2,2,2,2,2,2,5,2,2,5,2,2,2
AT4G25100,5,4,1,2,1,2,4,2,4,1,4,1,1,1,1,4,2,4,2,4,1,1,2,2,2,2
AB003040,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT1G78380,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT1G37130,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
Z56278,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT1G07890,1,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
X66017,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT1G31580,1,4,1,2,1,2,4,2,4,2,4,2,2,1,1,4,2,4,2,4,1,1,2,2,2,2
AT4G37980,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT2G34770,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AJ000470,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
L15389,1,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AF062901,4,4,1,2,4,2,4,2,4,2,4,2,2,1,4,2,2,2,2,4,4,1,2,2,2,2
AT4G00860,4,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
AT3G57260,2,4,1,2,1,4,4,2,4,1,4,1,1,1,1,4,3,4,3,4,1,1,2,2,2,2
